,Description,Date,Month,Year,Shooting,Local,Latitude,Longitude,zipcode
30,PropLost,10/13/2012,10,2012,No,No,42.35425634,-71.04624957,02210
31,OTHER LARCENY,7/30/2012,7,2012,No,No,42.23723912,-71.12688596,02136
32,InvPer,9/24/2012,9,2012,No,No,42.33117135,-71.05094456,02127
33,InvProp,12/7/2012,12,2012,No,No,42.33650135,-71.08382955,02120
34,AGGRAVATED ASSAULT,9/26/2012,9,2012,No,No,42.31697135,-71.05930956,02125
35,MedAssist,11/14/2012,11,2012,No,No,42.35875634,-71.07141956,02108
36,PropLost,11/24/2012,11,2012,No,No,42.35211134,-71.06263956,02116
37,Arrest,12/10/2012,12,2012,No,No,42.35116634,-71.06292956,02116
38,MVAcc,11/2/2012,11,2012,No,No,42.34611135,-71.13728954,02135
39,SIMPLE ASSAULT,9/2/2012,9,2012,No,No,42.33307135,-71.10159455,02120
40,TOWED,12/20/2012,12,2012,No,No,42.33638135,-71.04212957,02127
41,TOWED,7/20/2012,7,2012,No,No,42.27379136,-71.11995955,02136
42,MedAssist,7/25/2012,7,2012,No,No,42.30743135,-71.08382956,02121
43,PropLost,8/21/2012,8,2012,No,No,42.31549135,-71.09521455,02119
44,FORGERY,7/10/2012,7,2012,No,No,42.29762984,-71.04940078,02122
45,OTHER LARCENY,7/17/2012,7,2012,No,No,42.2835683,-71.09354788,02126
46,InvProp,8/30/2012,8,2012,No,No,42.3849354,-71.02035751,02128
47,LARCENY FROM MOTOR VEHICLE,10/20/2012,10,2012,No,No,42.33299635,-71.04280957,02127
48,SIMPLE ASSAULT,11/26/2012,11,2012,No,No,42.34422635,-71.10163955,02215
49,FRAUD,12/21/2012,12,2012,No,No,42.31907635,-71.05719956,02125
50,WEAPONS CHARGE,11/20/2012,11,2012,No,No,42.37840134,-71.05646956,02129
51,VAL,12/4/2012,12,2012,No,No,42.32861135,-71.05259957,02125
52,BENoProp,9/29/2012,9,2012,No,No,42.28079637,-71.09039953,02126
53,SIMPLE ASSAULT,7/14/2012,7,2012,No,No,42.28811636,-71.08416956,02124
54,COMMERCIAL BURGLARY,7/9/2012,7,2012,No,No,42.27970636,-71.11834954,02131
55,LARCENY FROM MOTOR VEHICLE,7/22/2012,7,2012,No,No,42.36527634,-71.05757956,02113
56,MedAssist,9/4/2012,9,2012,No,No,42.29210636,-71.07175456,02124
57,FRAUD,10/19/2012,10,2012,No,No,42.3257856,-71.08563716,02119
58,CRIMES AGAINST CHILDREN,7/24/2012,7,2012,No,No,42.37124634,-71.03886957,02128
59,InvProp,12/7/2012,12,2012,No,No,42.28275136,-71.11549454,02131
60,PropLost,12/13/2012,12,2012,No,No,42.34976134,-71.05806456,02111
61,MedAssist,11/8/2012,11,2012,No,No,42.35767134,-71.06075956,02108
62,RESIDENTIAL BURGLARY,9/9/2012,9,2012,No,No,42.28557136,-71.04744457,02122
63,MVAcc,8/17/2012,8,2012,No,No,42.35047603,-71.12773519,02134
64,OTHER,10/12/2012,10,2012,No,No,42.37543757,-71.06434762,02129
65,Service,8/7/2012,8,2012,No,No,42.26221712,-71.1572689,02132
66,VANDALISM,8/4/2012,8,2012,No,No,42.30011498,-71.07108061,02124
67,OTHER LARCENY,7/22/2012,7,2012,No,No,42.28584136,-71.13119455,02131
68,InvProp,8/28/2012,8,2012,No,No,42.34618135,-71.09862455,02215
69,OTHER LARCENY,7/29/2012,7,2012,No,No,42.35258134,-71.07130956,02116
70,MedAssist,7/17/2012,7,2012,No,No,42.31246635,-71.05733456,02125
71,OTHER LARCENY,7/26/2012,7,2012,No,No,42.24501637,-71.12352454,02136
72,PhoneCalls,10/15/2012,10,2012,No,No,42.36595134,-71.05120456,02109
73,MedAssist,8/31/2012,8,2012,No,No,42.34810134,-71.06211456,02111
74,OTHER LARCENY,7/19/2012,7,2012,No,No,42.36664819,-71.05265204,02113
75,AGGRAVATED ASSAULT,7/10/2012,7,2012,No,No,42.32997135,-71.08690455,02119
76,InvPer,8/30/2012,8,2012,No,No,42.37438634,-71.06505956,02129
77,MVAcc,8/19/2012,8,2012,No,No,42.28692136,-71.09065455,02124
78,SIMPLE ASSAULT,11/18/2012,11,2012,No,No,42.34201135,-71.08729956,02115
79,LARCENY FROM MOTOR VEHICLE,12/17/2012,12,2012,No,No,42.2909237,-71.13785269,02131
80,ROBBERY,11/11/2012,11,2012,No,No,42.35535484,-71.06310606,02111
81,MVAcc,8/7/2012,8,2012,No,No,42.31082136,-71.08155956,02121
82,VANDALISM,12/3/2012,12,2012,No,No,42.31168635,-71.10491955,02130
83,PersLoc,8/23/2012,8,2012,No,No,42.33803135,-71.07640455,02118
84,CRIMES AGAINST CHILDREN,9/14/2012,9,2012,No,No,42.27648603,-71.09135119,02126
85,BENoProp,11/12/2012,11,2012,No,No,42.32423635,-71.09035955,02119
86,TOWED,7/20/2012,7,2012,No,No,42.30552236,-71.11469913,02130
87,MedAssist,9/13/2012,9,2012,No,No,42.34583635,-71.10572454,02215
88,OPERATING UNDER INFLUENCE,8/17/2012,8,2012,No,No,42.35212135,-71.12489954,02215
89,VANDALISM,11/27/2012,11,2012,No,No,42.35661135,-71.07166956,02108
90,PropLost,10/22/2012,10,2012,No,No,42.31089636,-71.08006455,02121
91,MedAssist,9/3/2012,9,2012,No,No,42.35168135,-71.12126954,02215
92,MedAssist,12/8/2012,12,2012,No,No,42.31946135,-71.05675456,02125
93,TOWED,12/18/2012,12,2012,No,No,42.34744096,-71.13362874,02134
94,RESIDENTIAL BURGLARY,12/21/2012,12,2012,No,No,42.32496225,-71.08511311,02119
95,VAL,9/11/2012,9,2012,No,No,42.27998137,-71.11901955,02131
96,OTHER LARCENY,9/8/2012,9,2012,No,No,42.35456134,-71.06213956,02111
97,MVAcc,12/17/2012,12,2012,No,No,42.32073135,-71.08163956,02119
98,MedAssist,11/8/2012,11,2012,No,No,42.30311635,-71.08513956,02121
99,SIMPLE ASSAULT,12/2/2012,12,2012,No,No,42.34701635,-71.08873955,02215
100,InvProp,7/23/2012,7,2012,No,No,42.3200542,-71.08718788,02119
101,OTHER LARCENY,10/27/2012,10,2012,No,No,42.3574409,-71.05779358,02108
102,OTHER LARCENY,10/13/2012,10,2012,No,No,42.33613635,-71.07408956,02118
103,InvPer,8/10/2012,8,2012,No,No,42.30026635,-71.05901456,02122
104,InvPer,11/20/2012,11,2012,No,No,42.25984746,-71.11539795,02136
105,OTHER LARCENY,10/8/2012,10,2012,No,No,42.34671135,-71.08008456,02199
106,FRAUD,12/3/2012,12,2012,No,No,42.27814136,-71.09739456,02126
107,SIMPLE ASSAULT,8/6/2012,8,2012,No,No,42.27808136,-71.08251956,02126
108,SIMPLE ASSAULT,10/10/2012,10,2012,No,No,42.32059635,-71.07061455,02125
109,InvPer,10/2/2012,10,2012,No,No,42.28141929,-71.08671577,02124
110,DRUG CHARGES,12/10/2012,12,2012,No,No,42.29754136,-71.05973457,02122
111,LICViol,10/24/2012,10,2012,No,No,42.32208635,-71.05680956,02125
112,PropLost,11/2/2012,11,2012,No,No,42.33551635,-71.07824956,02118
113,FORGERY,8/10/2012,8,2012,No,No,42.33885135,-71.10713955,02115
114,OTHER LARCENY,11/13/2012,11,2012,No,No,42.36763134,-71.06576456,02114
115,OTHER LARCENY,8/26/2012,8,2012,No,No,42.35081634,-71.06719956,02116
116,OTHER LARCENY,7/19/2012,7,2012,No,No,42.35307228,-71.06434623,02108
117,Arrest,8/5/2012,8,2012,No,No,42.29936636,-71.06978457,02124
118,Service,7/10/2012,7,2012,No,No,42.29848136,-71.06315456,02124
119,MVAcc,8/29/2012,8,2012,No,No,42.25313373,-71.12378192,02136
120,MVAcc,12/19/2012,12,2012,No,No,42.35047635,-71.08000455,02116
121,OTHER LARCENY,10/6/2012,10,2012,No,No,42.38069134,-71.02957958,02128
122,DEATH INVESTIGATION,12/2/2012,12,2012,No,No,42.35882804,-71.05836216,02201
123,SIMPLE ASSAULT,8/17/2012,8,2012,No,No,42.33870806,-71.04958255,02127
124,InvProp,9/6/2012,9,2012,No,No,42.33769635,-71.03752457,02127
125,Service,12/9/2012,12,2012,No,No,42.33961135,-71.07249956,02118
126,Ballist,9/7/2012,9,2012,No,No,42.29512636,-71.05861956,02122
127,InvPer,9/5/2012,9,2012,No,No,42.31371635,-71.09819455,02119
128,SIMPLE ASSAULT,9/25/2012,9,2012,No,No,42.29036427,-71.06843583,02124
129,Argue,9/20/2012,9,2012,No,No,42.30059635,-71.06886956,02124
130,FRAUD,9/7/2012,9,2012,No,No,42.30100135,-71.08583956,02121
131,DRUG CHARGES,8/2/2012,8,2012,No,No,42.28700636,-71.12769954,02131
132,SIMPLE ASSAULT,7/21/2012,7,2012,No,No,42.35505135,-71.16268953,02135
133,VAL,11/29/2012,11,2012,No,No,42.38262134,-71.03930957,02128
134,VANDALISM,9/20/2012,9,2012,No,No,42.34487135,-71.10097955,02215
135,MedAssist,11/26/2012,11,2012,No,No,42.31536135,-71.09872455,02119
136,OTHER LARCENY,12/31/2012,12,2012,No,No,42.33388135,-71.10399454,02120
137,OTHER LARCENY,12/31/2012,12,2012,No,No,42.31536135,-71.09872455,02119
138,FRAUD,10/24/2012,10,2012,No,No,42.31686136,-71.09832955,02119
139,SIMPLE ASSAULT,12/21/2012,12,2012,No,No,42.32540686,-71.0880266,02119
140,VANDALISM,12/9/2012,12,2012,No,No,42.31138499,-71.04772703,02125
141,OTHER LARCENY,12/21/2012,12,2012,No,No,42.32191135,-71.10475955,02130
142,VAL,11/17/2012,11,2012,No,No,42.34949135,-71.07219956,02116
143,DRUG CHARGES,9/27/2012,9,2012,No,No,42.33325635,-71.07289955,02118
144,SIMPLE ASSAULT,9/6/2012,9,2012,No,No,42.26125557,-71.15867502,02132
145,Gather,12/12/2012,12,2012,No,No,42.35770135,-71.06324957,02108
146,MedAssist,8/12/2012,8,2012,No,No,42.35040348,-71.13068988,02134
147,VAL,8/15/2012,8,2012,No,No,42.34668272,-71.16844559,02135
148,DRUG CHARGES,8/16/2012,8,2012,No,No,42.27622636,-71.13938954,02131
149,OTHER LARCENY,8/5/2012,8,2012,No,No,42.35853201,-71.05284634,02110
150,Gather,10/27/2012,10,2012,No,No,42.35169635,-71.12953954,02134
151,DRUG CHARGES,11/20/2012,11,2012,No,No,42.30641136,-71.07763956,02121
152,ROBBERY,8/13/2012,8,2012,No,No,42.30958136,-71.08743956,02121
153,Service,11/9/2012,11,2012,No,No,42.31037135,-71.06123456,02122
154,VANDALISM,8/14/2012,8,2012,No,No,42.35564634,-71.07171456,02116
155,VANDALISM,11/24/2012,11,2012,No,No,42.28187037,-71.0855491,02124
156,LARCENY FROM MOTOR VEHICLE,8/20/2012,8,2012,No,No,42.3221767,-71.07564156,02119
157,PropLost,9/6/2012,9,2012,No,No,42.30417674,-71.0594056,02122
158,MedAssist,12/10/2012,12,2012,No,No,42.27457836,-71.08001927,02126
159,OTHER LARCENY,10/19/2012,10,2012,No,No,42.35057135,-71.07881456,02116
160,MVAcc,12/2/2012,12,2012,No,No,42.32568833,-71.07513169,02119
161,VAL,10/4/2012,10,2012,No,No,42.37423134,-71.06767456,02129
162,VIOLATION OF LIQUOR LAWS,9/15/2012,9,2012,No,No,42.33117135,-71.03049957,02127
163,DRUG CHARGES,9/23/2012,9,2012,No,No,42.30972244,-71.10427304,02130
164,SIMPLE ASSAULT,8/24/2012,8,2012,No,No,42.34197135,-71.09651955,02215
165,Service,11/10/2012,11,2012,No,No,42.25685137,-71.12111955,02136
166,VANDALISM,10/25/2012,10,2012,No,No,42.32055136,-71.11554955,02130
167,AGGRAVATED ASSAULT,9/25/2012,9,2012,No,No,42.31121103,-71.08915114,02121
168,FRAUD,11/30/2012,11,2012,No,No,42.30203636,-71.07073956,02124
169,OTHER LARCENY,10/19/2012,10,2012,No,No,42.34461634,-71.08636455,02115
170,PropLost,10/8/2012,10,2012,No,No,42.305758,-71.080967,02121
171,PropLost,11/13/2012,11,2012,No,No,42.35000634,-71.06513456,02116
172,RESIDENTIAL BURGLARY,8/30/2012,8,2012,No,No,42.29008683,-71.12195463,02131
173,VAL,8/4/2012,8,2012,No,No,42.24759637,-71.12812954,02136
174,AUTO THEFT,12/16/2012,12,2012,No,No,42.36410466,-71.05144425,02109
175,MVAcc,9/27/2012,9,2012,No,No,42.35614135,-71.06941956,02116
176,FRAUD,7/25/2012,7,2012,No,No,42.33510135,-71.05524957,02127
177,OTHER LARCENY,10/26/2012,10,2012,No,No,42.33476071,-71.03793859,02127
178,MVAcc,8/26/2012,8,2012,No,No,42.28260136,-71.05569957,02124
179,DRUG CHARGES,12/21/2012,12,2012,No,No,42.32936203,-71.08064127,02119
180,AGGRAVATED ASSAULT,9/9/2012,9,2012,No,No,42.35879135,-71.05675957,02109
181,AUTO THEFT,7/13/2012,7,2012,No,No,42.32723569,-71.08059616,02119
182,OTHER LARCENY,8/27/2012,8,2012,No,No,42.34302135,-71.06493956,02118
183,MVAcc,10/12/2012,10,2012,No,No,42.32542135,-71.06966956,02119
184,OTHER LARCENY,9/23/2012,9,2012,No,No,42.32283635,-71.10382955,02130
185,VANDALISM,11/24/2012,11,2012,No,No,42.29195636,-71.06581456,02124
186,OTHER LARCENY,11/6/2012,11,2012,No,No,42.33307135,-71.10159455,02120
187,VANDALISM,8/29/2012,8,2012,No,No,42.34922135,-71.08948955,02115
188,Arrest,9/14/2012,9,2012,No,No,42.30487995,-71.11303005,02130
189,VAL,9/17/2012,9,2012,No,No,42.32815841,-71.08817813,02119
190,OTHER LARCENY,8/5/2012,8,2012,No,No,42.35186135,-71.07067956,02116
191,Service,8/13/2012,8,2012,No,No,42.35219175,-71.05757694,02111
192,DISORDERLY,7/22/2012,7,2012,No,No,42.29131136,-71.07169956,02124
193,LARCENY FROM MOTOR VEHICLE,9/10/2012,9,2012,No,No,42.27829137,-71.13699954,02131
194,RESIDENTIAL BURGLARY,11/17/2012,11,2012,No,No,42.31675135,-71.06101956,02125
195,MedAssist,9/13/2012,9,2012,No,No,42.32581635,-71.05463956,02127
196,VAL,7/10/2012,7,2012,No,No,42.28752636,-71.09027455,02124
197,Arrest,7/11/2012,7,2012,No,No,42.31362664,-71.08251421,02121
198,VANDALISM,8/14/2012,8,2012,No,No,42.31099635,-71.06687956,02125
199,PersLoc,12/25/2012,12,2012,No,No,42.33032596,-71.04938397,02127
200,Restrain,9/10/2012,9,2012,No,No,42.36104634,-71.13430954,02134
201,Argue,11/27/2012,11,2012,No,No,42.28818636,-71.07695456,02124
202,InvProp,9/8/2012,9,2012,No,No,42.3405647,-71.14845083,02135
203,SIMPLE ASSAULT,11/3/2012,11,2012,No,No,42.29863538,-71.08511795,02121
204,PubDrink,9/29/2012,9,2012,No,No,42.31776637,-71.04205955,02125
205,VANDALISM,9/6/2012,9,2012,No,No,42.34977635,-71.07842956,02116
206,VANDALISM,9/27/2012,9,2012,No,No,42.32042261,-71.09360924,02119
207,SIMPLE ASSAULT,9/3/2012,9,2012,No,No,42.31358717,-71.05434207,02125
208,DRUG CHARGES,11/9/2012,11,2012,No,No,42.37124634,-71.03886957,02128
209,VANDALISM,12/3/2012,12,2012,No,No,42.28752636,-71.09044955,02124
210,TOWED,9/29/2012,9,2012,No,No,42.33931017,-71.15330953,02135
211,Service,7/20/2012,7,2012,No,No,42.30802136,-71.06511957,02125
212,MedAssist,11/23/2012,11,2012,No,No,42.35571634,-71.06108956,02108
213,SexReg,12/11/2012,12,2012,No,No,42.33390135,-71.07292956,02118
214,OTHER LARCENY,12/13/2012,12,2012,No,No,42.32597135,-71.05881957,02125
215,MVAcc,12/27/2012,12,2012,No,No,42.34113135,-71.05629957,02127
216,07RV,12/29/2012,12,2012,No,No,42.33296135,-71.10126955,02120
217,AUTO THEFT,7/11/2012,7,2012,No,No,42.34231135,-71.07023956,02118
218,DRUG CHARGES,9/10/2012,9,2012,No,No,42.28954851,-71.08848526,02124
219,OTHER LARCENY,12/13/2012,12,2012,No,No,42.35505634,-71.06084456,02110
220,SIMPLE ASSAULT,10/14/2012,10,2012,No,No,42.36426634,-71.06165955,02114
221,Arrest,8/27/2012,8,2012,No,No,42.35351135,-71.13116954,02134
222,MedAssist,10/26/2012,10,2012,No,No,42.36702134,-71.05424456,02113
223,InvProp,10/13/2012,10,2012,No,No,42.27368728,-71.09446851,02126
224,DRUG CHARGES,7/12/2012,7,2012,No,No,42.31459136,-71.06743957,02125
225,FRAUD,12/24/2012,12,2012,No,No,42.34061048,-71.05553657,02127
226,LARCENY FROM MOTOR VEHICLE,10/15/2012,10,2012,No,No,42.34802135,-71.09495955,02215
227,AUTO THEFT,11/13/2012,11,2012,No,No,42.32744525,-71.09852752,02120
228,MVAcc,9/26/2012,9,2012,No,No,42.30305734,-71.11079719,02130
229,VAL,11/6/2012,11,2012,No,No,42.31037135,-71.06123456,02122
230,PropLost,11/11/2012,11,2012,No,No,42.27585137,-71.16707953,02132
231,HOMICIDE,7/16/2012,7,2012,Yes,No,42.34687135,-71.06582957,02118
232,RESIDENTIAL BURGLARY,10/2/2012,10,2012,No,No,42.35951634,-71.06846956,02114
233,LARCENY FROM MOTOR VEHICLE,7/16/2012,7,2012,No,No,42.30902122,-71.11700973,02130
234,Service,7/22/2012,7,2012,No,No,42.33614135,-71.08162456,02118
235,OTHER LARCENY,10/20/2012,10,2012,No,No,42.34622135,-71.07058956,02116
236,MVAcc,12/3/2012,12,2012,No,No,42.29569136,-71.11827954,02131
237,VAL,11/9/2012,11,2012,No,No,42.33976135,-71.09067955,02115
238,VAL,10/15/2012,10,2012,No,No,42.34182233,-71.14643287,02135
239,MedAssist,8/25/2012,8,2012,No,No,42.32917635,-71.06990456,02118
240,AUTO THEFT,9/27/2012,9,2012,No,No,42.29748431,-71.07530735,02124
241,SIMPLE ASSAULT,11/20/2012,11,2012,No,No,42.35388134,-71.05831456,02110
242,Service,8/14/2012,8,2012,No,No,42.35868598,-71.12989619,02134
243,MedAssist,7/28/2012,7,2012,No,No,42.37933134,-71.05918956,02129
244,Arrest,9/26/2012,9,2012,No,No,42.32642635,-71.08628455,02119
245,AGGRAVATED ASSAULT,7/17/2012,7,2012,No,No,42.28814636,-71.09006456,02124
246,PropLost,12/20/2012,12,2012,No,No,42.35000634,-71.06513456,02116
247,VAL,7/17/2012,7,2012,No,No,42.36089634,-71.06692956,02114
248,VAL,12/13/2012,12,2012,No,No,42.30596135,-71.10794955,02130
249,OTHER LARCENY,12/20/2012,12,2012,No,No,42.34302135,-71.06493956,02118
250,VANDALISM,7/29/2012,7,2012,No,No,42.34923635,-71.08036955,02116
251,FORGERY,9/25/2012,9,2012,No,No,42.32298135,-71.08235455,02119
252,FRAUD,11/8/2012,11,2012,No,No,42.31629339,-71.06864178,02125
253,Service,7/16/2012,7,2012,No,No,42.33490135,-71.07516956,02118
254,OTHER LARCENY,9/16/2012,9,2012,No,No,42.35571634,-71.06108956,02108
255,VAL,9/27/2012,9,2012,No,No,42.26847137,-71.10529955,02126
256,RESIDENTIAL BURGLARY,8/24/2012,8,2012,No,No,42.26608136,-71.10861955,02126
257,PersLoc,7/26/2012,7,2012,No,No,42.30769135,-71.06902456,02125
258,ROBBERY,12/29/2012,12,2012,No,No,42.33696135,-71.09363955,02115
259,VAL,7/17/2012,7,2012,No,No,42.35740134,-71.06596456,02108
260,FRAUD,11/14/2012,11,2012,No,No,42.28463137,-71.14426952,02131
261,DRUG CHARGES,10/22/2012,10,2012,No,No,42.33721135,-71.07600456,02118
262,LARCENY FROM MOTOR VEHICLE,7/25/2012,7,2012,No,No,42.29405937,-71.1419518,02132
263,VAL,9/27/2012,9,2012,No,No,42.30867745,-71.06845603,02125
264,VAL,11/24/2012,11,2012,No,No,42.27893137,-71.11679955,02131
265,RESIDENTIAL BURGLARY,12/20/2012,12,2012,No,No,42.29245089,-71.09355466,02124
266,OTHER,8/13/2012,8,2012,No,No,42.32732655,-71.07946607,02119
267,LICViol,12/31/2012,12,2012,No,No,42.35081634,-71.06719956,02116
268,OTHER,12/17/2012,12,2012,No,No,42.28876636,-71.13438954,02131
269,SIMPLE ASSAULT,8/23/2012,8,2012,No,No,42.30758393,-71.07751662,02121
270,VAL,9/20/2012,9,2012,No,No,42.29309136,-71.07500956,02124
271,LARCENY FROM MOTOR VEHICLE,12/10/2012,12,2012,No,No,42.32094635,-71.06865956,02125
272,VANDALISM,11/11/2012,11,2012,No,No,42.37907634,-71.05470456,02129
273,VAL,10/9/2012,10,2012,No,No,42.34253135,-71.06984956,02118
274,OTHER LARCENY,12/8/2012,12,2012,No,No,42.35154634,-71.06838456,02116
275,LARCENY FROM MOTOR VEHICLE,9/22/2012,9,2012,No,No,42.36521135,-71.05547957,02113
276,EMBEZELLMENT,12/4/2012,12,2012,No,No,42.35068635,-71.07162956,02116
277,DEATH INVESTIGATION,12/4/2012,12,2012,No,No,42.29874135,-71.06012957,02122
278,SIMPLE ASSAULT,10/3/2012,10,2012,No,No,42.35644135,-71.06197957,02108
279,PropLost,10/19/2012,10,2012,No,No,42.34935135,-71.06755456,02116
280,OTHER LARCENY,10/10/2012,10,2012,No,No,42.36380634,-71.05705956,02113
281,MVAcc,10/16/2012,10,2012,No,No,42.33840635,-71.09938455,02115
282,OTHER LARCENY,9/14/2012,9,2012,No,No,42.30449824,-71.07299484,02121
283,MVAcc,9/2/2012,9,2012,No,No,42.36441134,-71.05752456,02113
284,MVAcc,7/11/2012,7,2012,No,No,42.28861136,-71.10792955,02131
285,VAL,11/6/2012,11,2012,No,No,42.34118501,-71.08681757,02115
286,VANDALISM,9/14/2012,9,2012,No,No,42.37818634,-71.03729457,02128
287,VAL,7/27/2012,7,2012,No,No,42.27724137,-71.09356956,02126
288,DRUG CHARGES,8/15/2012,8,2012,No,No,42.29754136,-71.05973457,02122
289,PropLost,11/2/2012,11,2012,No,No,42.33610635,-71.08608955,02120
290,OTHER,8/3/2012,8,2012,No,No,42.32104128,-71.07209693,02125
291,LARCENY FROM MOTOR VEHICLE,8/17/2012,8,2012,No,No,42.35606765,-71.17027518,02135
292,Service,11/17/2012,11,2012,No,No,42.28405295,-71.11241077,02131
293,TOWED,11/19/2012,11,2012,No,No,42.33442135,-71.03125457,02127
294,Service,7/27/2012,7,2012,No,No,42.27868905,-71.12063736,02131
295,InvPer,10/21/2012,10,2012,No,No,42.32512992,-71.07671944,02119
296,MVAcc,12/7/2012,12,2012,No,No,42.28614137,-71.12970954,02131
297,VAL,12/26/2012,12,2012,No,No,42.32543556,-71.06387302,02125
298,FRAUD,7/11/2012,7,2012,No,No,42.32853954,-71.10857798,02120
299,OTHER LARCENY,12/12/2012,12,2012,No,No,42.33043607,-71.08369937,02119
300,ROBBERY,9/12/2012,9,2012,No,No,42.31799135,-71.06728957,02125
301,SIMPLE ASSAULT,8/15/2012,8,2012,No,No,42.33551635,-71.07824956,02118
302,LARCENY FROM MOTOR VEHICLE,8/22/2012,8,2012,No,No,42.26858136,-71.09573955,02126
303,LARCENY FROM MOTOR VEHICLE,8/18/2012,8,2012,No,No,42.39329401,-71.0086428,02128
304,RESIDENTIAL BURGLARY,7/23/2012,7,2012,No,No,42.29710636,-71.08805955,02124
305,PropFound,10/12/2012,10,2012,No,No,42.33127135,-71.09292955,02119
306,SIMPLE ASSAULT,8/30/2012,8,2012,No,No,42.32753635,-71.08322955,02119
307,FRAUD,9/12/2012,9,2012,No,No,42.29201136,-71.12217455,02131
308,OTHER LARCENY,7/28/2012,7,2012,No,No,42.34021361,-71.1545263,02135
309,LICViol,9/2/2012,9,2012,No,No,42.35684634,-71.05341456,02109
310,PropDam,9/26/2012,9,2012,No,No,42.29884135,-71.06058456,02122
311,DRUG CHARGES,9/15/2012,9,2012,No,No,42.33553635,-71.07571955,02118
312,BENoProp,11/29/2012,11,2012,No,No,42.32568692,-71.08221222,02119
313,MedAssist,9/12/2012,9,2012,No,No,42.33439135,-71.04798457,02127
314,SIMPLE ASSAULT,12/7/2012,12,2012,No,No,42.32851108,-71.08039977,02119
315,InvPer,11/28/2012,11,2012,No,No,42.28059136,-71.08343455,02126
316,VAL,9/15/2012,9,2012,No,No,42.28643136,-71.12812955,02131
317,RESIDENTIAL BURGLARY,12/21/2012,12,2012,No,No,42.31913635,-71.10064455,02119
318,PropLost,10/28/2012,10,2012,No,No,42.33349135,-71.07350956,02119
319,VAL,12/26/2012,12,2012,No,No,42.30573833,-71.07943119,02121
320,AGGRAVATED ASSAULT,7/28/2012,7,2012,No,No,42.26650247,-71.09853949,02126
321,InvPer,7/17/2012,7,2012,No,No,42.38196635,-71.03185957,02128
322,DISORDERLY,9/23/2012,9,2012,No,No,42.35154635,-71.06352456,02116
323,MedAssist,7/24/2012,7,2012,No,No,42.35243134,-71.06577456,02108
324,OTHER LARCENY,9/20/2012,9,2012,No,No,42.35589829,-71.13850805,02134
325,Service,9/27/2012,9,2012,No,No,42.35272634,-71.06257456,02111
326,OTHER LARCENY,9/14/2012,9,2012,No,No,42.38166634,-71.04034456,02128
327,SIMPLE ASSAULT,7/13/2012,7,2012,No,No,42.31406135,-71.09998455,02130
328,FRAUD,8/14/2012,8,2012,No,No,42.29528636,-71.07955956,02124
329,RESIDENTIAL BURGLARY,11/21/2012,11,2012,No,No,42.36249634,-71.06688456,02114
